Store_ID,Brand,Week,Item,Quantity_Purchased,Unit_Cost,Total_Cost,Ideal_Usage,Variance
1000,Maple Grill,2022-05-09,Buns,158,8.22,1298.76,150,8
1000,Maple Grill,2022-05-09,Fries,40,9.48,379.2,39,1
1000,Maple Grill,2022-05-09,Ketchup,70,5.41,378.7,73,-3
1000,Maple Grill,2022-05-16,Beef Patty,80,4.87,389.6,71,9
1000,Maple Grill,2022-05-16,Cheddar Cheese,186,8.06,1499.16,172,14
1000,Maple Grill,2022-05-16,Buns,43,1.78,76.54,31,12
1000,Maple Grill,2022-05-16,Fries,166,5.94,986.04,164,2
1000,Maple Grill,2022-05-16,Ketchup,192,2.96,568.32,187,5
1000,Maple Grill,2022-05-23,Beef Patty,117,6.72,786.24,114,3
1000,Maple Grill,2022-05-23,Cheddar Cheese,134,2.71,363.14,134,0
1000,Maple Grill,2022-05-23,Buns,91,7.87,716.17,87,4
1000,Maple Grill,2022-05-23,Fries,137,3.96,542.52,123,14
1000,Maple Grill,2022-05-23,Ketchup,129,9.91,1278.39,116,13
1000,Maple Grill,2022-05-30,Beef Patty,117,9.73,1138.41,114,3
1000,Maple Grill,2022-05-30,Cheddar Cheese,53,9.11,482.83,47,6
1000,Maple Grill,2022-05-30,Buns,166,7.6,1261.6,166,0
1000,Maple Grill,2022-05-30,Fries,125,8.51,1063.75,113,12
1000,Maple Grill,2022-05-30,Ketchup,118,4.69,553.42,119,-1
1000,Maple Grill,2022-06-06,Beef Patty,87,7.3,635.1,85,2
1000,Maple Grill,2022-06-06,Cheddar Cheese,51,4.29,218.79,43,8
1000,Maple Grill,2022-06-06,Buns,85,6.34,538.9,81,4
1000,Maple Grill,2022-06-06,Fries,175,5.37,939.75,170,5
1000,Maple Grill,2022-06-06,Ketchup,190,5.6,1064.0,186,4
1000,Maple Grill,2022-06-13,Beef Patty,172,3.55,610.6,161,11
1000,Maple Grill,2022-06-13,Cheddar Cheese,85,5.35,454.75,89,-4
1000,Maple Grill,2022-06-13,Buns,84,4.57,383.88,89,-5
1000,Maple Grill,2022-06-13,Fries,159,4.56,725.04,146,13
1000,Maple Grill,2022-06-13,Ketchup,153,2.88,440.64,148,5
1000,Maple Grill,2022-06-20,Beef Patty,50,9.8,490.0,47,3
1000,Maple Grill,2022-06-20,Cheddar Cheese,62,6.62,410.44,55,7
1000,Maple Grill,2022-06-20,Buns,189,1.92,362.88,183,6
1000,Maple Grill,2022-06-20,Fries,83,3.73,309.59,82,1
1000,Maple Grill,2022-06-20,Ketchup,24,3.0,72.0,11,13
1000,Maple Grill,2022-06-27,Beef Patty,105,5.96,625.8,91,14
1000,Maple Grill,2022-06-27,Cheddar Cheese,102,1.92,195.84,102,0
1000,Maple Grill,2022-06-27,Buns,169,2.24,378.56,159,10
1000,Maple Grill,2022-06-27,Fries,150,7.44,1116.0,136,14
1000,Maple Grill,2022-06-27,Ketchup,70,8.14,569.8,59,11
1000,Maple Grill,2022-07-04,Beef Patty,170,5.85,994.5,171,-1
1000,Maple Grill,2022-07-04,Cheddar Cheese,138,4.59,633.42,135,3
1000,Maple Grill,2022-07-04,Buns,135,5.0,675.0,122,13
1000,Maple Grill,2022-07-04,Fries,81,6.04,489.24,86,-5
1000,Maple Grill,2022-07-04,Ketchup,120,6.39,766.8,109,11
1000,Maple Grill,2022-07-11,Beef Patty,66,6.63,437.58,62,4
1000,Maple Grill,2022-07-11,Cheddar Cheese,127,7.9,1003.3,132,-5
1000,Maple Grill,2022-07-11,Buns,186,2.28,424.08,181,5
1000,Maple Grill,2022-07-11,Fries,108,1.65,178.2,95,13
1000,Maple Grill,2022-07-11,Ketchup,33,3.7,122.1,30,3
1000,Maple Grill,2022-07-18,Beef Patty,166,8.64,1434.24,164,2
1000,Maple Grill,2022-07-18,Cheddar Cheese,59,9.43,556.37,63,-4
1000,Maple Grill,2022-07-18,Buns,38,3.72,141.36,33,5
1000,Maple Grill,2022-07-18,Fries,43,3.02,129.86,37,6
1000,Maple Grill,2022-07-18,Ketchup,124,7.18,890.32,118,6
1000,Maple Grill,2022-07-25,Beef Patty,141,2.91,410.31,143,-2
1000,Maple Grill,2022-07-25,Cheddar Cheese,91,2.23,202.93,82,9
1000,Maple Grill,2022-07-25,Buns,63,3.19,200.97,60,3
1000,Maple Grill,2022-07-25,Fries,197,8.28,1631.16,189,8
1000,Maple Grill,2022-07-25,Ketchup,140,5.58,781.2,134,6
1000,Maple Grill,2022-08-01,Beef Patty,118,2.84,335.12,108,10
1000,Maple Grill,2022-08-01,Cheddar Cheese,66,7.12,469.92,59,7
1000,Maple Grill,2022-08-01,Buns,112,4.42,495.04,104,8
1000,Maple Grill,2022-08-01,Fries,144,9.37,1349.28,147,-3
1000,Maple Grill,2022-08-01,Ketchup,63,9.29,585.27,56,7
1000,Maple Grill,2022-08-08,Beef Patty,191,9.79,1869.89,192,-1
1000,Maple Grill,2022-08-08,Cheddar Cheese,195,3.35,653.25,182,13
1000,Maple Grill,2022-08-08,Buns,40,2.39,95.6,29,11
1000,Maple Grill,2022-08-08,Fries,178,2.59,461.02,164,14
1000,Maple Grill,2022-08-08,Ketchup,138,2.16,298.08,126,12
1000,Maple Grill,2022-08-15,Beef Patty,98,2.58,252.84,89,9
1000,Maple Grill,2022-08-15,Cheddar Cheese,50,1.85,92.5,51,-1
1000,Maple Grill,2022-08-15,Buns,107,5.46,584.22,97,10
1000,Maple Grill,2022-08-15,Fries,62,8.93,553.66,61,1
1000,Maple Grill,2022-08-15,Ketchup,46,3.05,140.3,40,6
1000,Maple Grill,2022-08-22,Beef Patty,110,3.84,422.4,105,5
1000,Maple Grill,2022-08-22,Cheddar Cheese,190,3.73,708.7,178,12
1000,Maple Grill,2022-08-22,Buns,22,3.62,79.64,11,11
1000,Maple Grill,2022-08-22,Fries,126,8.55,1077.3,117,9
1000,Maple Grill,2022-08-22,Ketchup,106,5.48,580.88,95,11
1000,Maple Grill,2022-08-29,Beef Patty,191,4.99,953.09,180,11
1000,Maple Grill,2022-08-29,Cheddar Cheese,177,8.69,1538.13,175,2
1000,Maple Grill,2022-08-29,Buns,63,2.24,141.12,57,6
1000,Maple Grill,2022-08-29,Fries,46,2.63,120.98,34,12
1000,Maple Grill,2022-08-29,Ketchup,56,9.36,524.16,57,-1
1000,Maple Grill,2022-09-05,Beef Patty,86,1.88,161.68,86,0
1000,Maple Grill,2022-09-05,Cheddar Cheese,172,3.15,541.8,167,5
1000,Maple Grill,2022-09-05,Buns,49,8.42,412.58,35,14
1000,Maple Grill,2022-09-05,Fries,103,9.68,997.04,102,1
1000,Maple Grill,2022-09-05,Ketchup,168,3.58,601.44,167,1
1000,Maple Grill,2022-09-12,Beef Patty,146,9.68,1413.28,135,11
1000,Maple Grill,2022-09-12,Cheddar Cheese,99,8.55,846.45,91,8
1000,Maple Grill,2022-09-12,Buns,99,1.81,179.19,90,9
1000,Maple Grill,2022-09-12,Fries,108,7.07,763.56,109,-1
1000,Maple Grill,2022-09-12,Ketchup,53,9.6,508.8,42,11
1000,Maple Grill,2022-09-19,Beef Patty,185,5.21,963.85,185,0
1000,Maple Grill,2022-09-19,Cheddar Cheese,76,3.27,248.52,68,8
1000,Maple Grill,2022-09-19,Buns,116,2.33,270.28,106,10
1000,Maple Grill,2022-09-19,Fries,60,9.62,577.2,47,13
1000,Maple Grill,2022-09-19,Ketchup,60,2.89,173.4,57,3
1000,Maple Grill,2022-09-26,Beef Patty,123,3.85,473.55,117,6
1000,Maple Grill,2022-09-26,Cheddar Cheese,101,9.25,934.25,100,1
1000,Maple Grill,2022-09-26,Buns,58,3.16,183.28,51,7
1000,Maple Grill,2022-09-26,Fries,147,8.95,1315.65,147,0
1000,Maple Grill,2022-09-26,Ketchup,159,7.79,1238.61,154,5
1000,Maple Grill,2022-10-03,Beef Patty,170,6.69,1137.3,159,11
1000,Maple Grill,2022-10-03,Cheddar Cheese,31,4.0,124.0,25,6
1000,Maple Grill,2022-10-03,Buns,21,7.14,149.94,18,3
1000,Maple Grill,2022-10-03,Fries,182,6.1,1110.2,180,2
1000,Maple Grill,2022-10-03,Ketchup,131,4.68,613.08,123,8
1000,Maple Grill,2022-10-10,Beef Patty,167,8.04,1342.68,171,-4
1000,Maple Grill,2022-10-10,Cheddar Cheese,194,8.91,1728.54,181,13
1000,Maple Grill,2022-10-10,Buns,127,4.6,584.2,117,10
1000,Maple Grill,2022-10-10,Fries,55,3.24,178.2,41,14
1000,Maple Grill,2022-10-10,Ketchup,190,6.85,1301.5,194,-4
1000,Maple Grill,2022-10-17,Beef Patty,168,5.84,981.12,162,6
1000,Maple Grill,2022-10-17,Cheddar Cheese,59,5.46,322.14,50,9
1000,Maple Grill,2022-10-17,Buns,43,7.32,314.76,33,10
1000,Maple Grill,2022-10-17,Fries,26,3.08,80.08,13,13
1000,Maple Grill,2022-10-17,Ketchup,165,2.78,458.7,157,8
1000,Maple Grill,2022-10-24,Beef Patty,106,7.02,744.12,107,-1
1000,Maple Grill,2022-10-24,Cheddar Cheese,148,9.43,1395.64,144,4
1000,Maple Grill,2022-10-24,Buns,186,2.22,412.92,190,-4
1000,Maple Grill,2022-10-24,Fries,33,6.33,208.89,26,7
1000,Maple Grill,2022-10-24,Ketchup,28,7.23,202.44,24,4
1000,Maple Grill,2022-10-31,Beef Patty,63,6.23,392.49,61,2
1000,Maple Grill,2022-10-31,Cheddar Cheese,39,9.63,375.57,33,6
1000,Maple Grill,2022-10-31,Buns,31,2.22,68.82,23,8
1000,Maple Grill,2022-10-31,Fries,31,9.51,294.81,21,10
1000,Maple Grill,2022-10-31,Ketchup,40,2.0,80.0,40,0
1000,Maple Grill,2022-11-07,Beef Patty,155,9.31,1443.05,153,2
1000,Maple Grill,2022-11-07,Cheddar Cheese,50,6.26,313.0,38,12
1000,Maple Grill,2022-11-07,Buns,99,9.61,951.39,98,1
1000,Maple Grill,2022-11-07,Fries,59,1.89,111.51,57,2
1000,Maple Grill,2022-11-07,Ketchup,33,4.33,142.89,22,11
1000,Maple Grill,2022-11-14,Beef Patty,42,9.35,392.7,29,13
1000,Maple Grill,2022-11-14,Cheddar Cheese,84,7.19,603.96,73,11
1000,Maple Grill,2022-11-14,Buns,184,3.73,686.32,182,2
1000,Maple Grill,2022-11-14,Fries,150,7.42,1113.0,141,9
1000,Maple Grill,2022-11-14,Ketchup,155,9.58,1484.9,153,2
1000,Maple Grill,2022-11-21,Beef Patty,134,3.19,427.46,126,8
1000,Maple Grill,2022-11-21,Cheddar Cheese,171,2.95,504.45,160,11
1000,Maple Grill,2022-11-21,Buns,193,4.37,843.41,180,13
1000,Maple Grill,2022-11-21,Fries,82,8.23,674.86,68,14
1000,Maple Grill,2022-11-21,Ketchup,100,7.48,748.0,91,9
1000,Maple Grill,2022-11-28,Beef Patty,151,8.07,1218.57,143,8
1000,Maple Grill,2022-11-28,Cheddar Cheese,125,8.19,1023.75,124,1
1000,Maple Grill,2022-11-28,Buns,105,9.6,1008.0,106,-1
1000,Maple Grill,2022-11-28,Fries,42,5.48,230.16,34,8
1000,Maple Grill,2022-11-28,Ketchup,166,8.78,1457.48,168,-2
1000,Maple Grill,2022-12-05,Beef Patty,47,1.74,81.78,42,5
1000,Maple Grill,2022-12-05,Cheddar Cheese,194,7.84,1520.96,190,4
1000,Maple Grill,2022-12-05,Buns,32,5.45,174.4,26,6
1000,Maple Grill,2022-12-05,Fries,155,8.77,1359.35,146,9
1000,Maple Grill,2022-12-05,Ketchup,162,3.63,588.06,158,4
1000,Maple Grill,2022-12-12,Beef Patty,138,3.42,471.96,126,12
1000,Maple Grill,2022-12-12,Cheddar Cheese,185,4.97,919.45,186,-1
1000,Maple Grill,2022-12-12,Buns,52,9.29,483.08,45,7
1000,Maple Grill,2022-12-12,Fries,130,6.06,787.8,129,1
1000,Maple Grill,2022-12-12,Ketchup,113,4.63,523.19,116,-3
1000,Maple Grill,2022-12-19,Beef Patty,196,6.02,1179.92,194,2
1000,Maple Grill,2022-12-19,Cheddar Cheese,54,5.85,315.9,52,2
1000,Maple Grill,2022-12-19,Buns,75,4.61,345.75,76,-1
1000,Maple Grill,2022-12-19,Fries,129,1.95,251.55,115,14
1000,Maple Grill,2022-12-19,Ketchup,52,8.61,447.72,46,6
1000,Maple Grill,2022-12-26,Beef Patty,163,7.96,1297.48,159,4
1000,Maple Grill,2022-12-26,Cheddar Cheese,147,2.44,358.68,145,2
1000,Maple Grill,2022-12-26,Buns,56,3.81,213.36,43,13
1000,Maple Grill,2022-12-26,Fries,117,4.49,525.33,122,-5
1000,Maple Grill,2022-12-26,Ketchup,102,5.22,532.44,100,2
1000,Maple Grill,2023-01-02,Beef Patty,44,4.46,196.24,40,4
1000,Maple Grill,2023-01-02,Cheddar Cheese,64,6.44,412.16,52,12
1000,Maple Grill,2023-01-02,Buns,130,5.72,743.6,132,-2
1000,Maple Grill,2023-01-02,Fries,159,6.95,1105.05,153,6
1000,Maple Grill,2023-01-02,Ketchup,77,3.0,231.0,74,3
1000,Maple Grill,2023-01-09,Beef Patty,197,1.79,352.63,200,-3
1000,Maple Grill,2023-01-09,Cheddar Cheese,166,1.74,288.84,161,5
1000,Maple Grill,2023-01-09,Buns,183,3.83,700.89,184,-1
1000,Maple Grill,2023-01-09,Fries,86,9.73,836.78,72,14
1000,Maple Grill,2023-01-09,Ketchup,26,2.86,74.36,30,-4
1000,Maple Grill,2023-01-16,Beef Patty,109,4.23,461.07,111,-2
1000,Maple Grill,2023-01-16,Cheddar Cheese,52,3.83,199.16,46,6
1000,Maple Grill,2023-01-16,Buns,59,8.35,492.65,63,-4
1000,Maple Grill,2023-01-16,Fries,26,2.83,73.58,19,7
1000,Maple Grill,2023-01-16,Ketchup,125,5.51,688.75,111,14
1000,Maple Grill,2023-01-23,Beef Patty,139,2.2,305.8,138,1
1000,Maple Grill,2023-01-23,Cheddar Cheese,189,1.97,372.33,185,4
1000,Maple Grill,2023-01-23,Buns,112,7.04,788.48,116,-4
1000,Maple Grill,2023-01-23,Fries,55,9.3,511.5,54,1
1000,Maple Grill,2023-01-23,Ketchup,188,7.02,1319.76,185,3
1000,Maple Grill,2023-01-30,Beef Patty,83,5.56,461.48,76,7
1000,Maple Grill,2023-01-30,Cheddar Cheese,53,1.51,80.03,58,-5
1000,Maple Grill,2023-01-30,Buns,153,3.81,582.93,158,-5
1000,Maple Grill,2023-01-30,Fries,55,5.21,286.55,44,11
1000,Maple Grill,2023-01-30,Ketchup,164,4.13,677.32,158,6
1000,Maple Grill,2023-02-06,Beef Patty,197,9.67,1904.99,202,-5
1000,Maple Grill,2023-02-06,Cheddar Cheese,85,5.64,479.4,79,6
1000,Maple Grill,2023-02-06,Buns,44,1.98,87.12,40,4
1000,Maple Grill,2023-02-06,Fries,179,6.29,1125.91,176,3
1000,Maple Grill,2023-02-06,Ketchup,132,4.49,592.68,130,2
1000,Maple Grill,2023-02-13,Beef Patty,187,6.89,1288.43,184,3
1000,Maple Grill,2023-02-13,Cheddar Cheese,24,2.98,71.52,25,-1
1000,Maple Grill,2023-02-13,Buns,80,8.65,692.0,78,2
1000,Maple Grill,2023-02-13,Fries,66,8.38,553.08,59,7
1000,Maple Grill,2023-02-13,Ketchup,161,8.51,1370.11,150,11
1000,Maple Grill,2023-02-20,Beef Patty,125,6.73,841.25,122,3
1000,Maple Grill,2023-02-20,Cheddar Cheese,157,5.8,910.6,161,-4
1000,Maple Grill,2023-02-20,Buns,38,8.97,340.86,24,14
1000,Maple Grill,2023-02-20,Fries,101,7.14,721.14,96,5
1000,Maple Grill,2023-02-20,Ketchup,157,4.97,780.29,151,6
1000,Maple Grill,2023-02-27,Beef Patty,48,8.07,387.36,42,6
1000,Maple Grill,2023-02-27,Cheddar Cheese,171,3.41,583.11,175,-4
1000,Maple Grill,2023-02-27,Buns,92,4.79,440.68,91,1
1000,Maple Grill,2023-02-27,Fries,64,6.12,391.68,68,-4
1000,Maple Grill,2023-02-27,Ketchup,111,5.2,577.2,110,1
1000,Maple Grill,2023-03-06,Beef Patty,119,1.73,205.87,106,13
1000,Maple Grill,2023-03-06,Cheddar Cheese,63,6.56,413.28,63,0
1000,Maple Grill,2023-03-06,Buns,33,3.05,100.65,23,10
1000,Maple Grill,2023-03-06,Fries,88,9.56,841.28,88,0
1000,Maple Grill,2023-03-06,Ketchup,104,5.97,620.88,98,6
1000,Maple Grill,2023-03-13,Beef Patty,83,2.03,168.49,83,0
1000,Maple Grill,2023-03-13,Cheddar Cheese,135,7.32,988.2,130,5
1000,Maple Grill,2023-03-13,Buns,148,5.3,784.4,142,6
1000,Maple Grill,2023-03-13,Fries,74,4.47,330.78,62,12
1000,Maple Grill,2023-03-13,Ketchup,46,7.02,322.92,36,10
1000,Maple Grill,2023-03-20,Beef Patty,31,2.81,87.11,36,-5
1000,Maple Grill,2023-03-20,Cheddar Cheese,110,9.24,1016.4,101,9
1000,Maple Grill,2023-03-20,Buns,178,8.29,1475.62,174,4
1000,Maple Grill,2023-03-20,Fries,56,3.44,192.64,50,6
1000,Maple Grill,2023-03-20,Ketchup,182,4.9,891.8,178,4
1000,Maple Grill,2023-03-27,Beef Patty,97,8.36,810.92,89,8
1000,Maple Grill,2023-03-27,Cheddar Cheese,112,7.67,859.04,117,-5
1000,Maple Grill,2023-03-27,Buns,177,1.56,276.12,182,-5
1000,Maple Grill,2023-03-27,Fries,178,2.39,425.42,181,-3
1000,Maple Grill,2023-03-27,Ketchup,191,3.01,574.91,177,14
1000,Maple Grill,2023-04-03,Beef Patty,167,6.83,1140.61,156,11
1000,Maple Grill,2023-04-03,Cheddar Cheese,51,3.49,177.99,37,14
1000,Maple Grill,2023-04-03,Buns,197,9.51,1873.47,196,1
1000,Maple Grill,2023-04-03,Fries,30,5.73,171.9,19,11
1000,Maple Grill,2023-04-03,Ketchup,163,8.11,1321.93,153,10
1000,Maple Grill,2023-04-10,Beef Patty,27,3.81,102.87,21,6
1000,Maple Grill,2023-04-10,Cheddar Cheese,63,6.7,422.1,59,4
1000,Maple Grill,2023-04-10,Buns,54,2.91,157.14,48,6
1000,Maple Grill,2023-04-10,Fries,35,7.73,270.55,31,4
1000,Maple Grill,2023-04-10,Ketchup,174,3.0,522.0,175,-1
1000,Maple Grill,2023-04-17,Beef Patty,134,9.81,1314.54,138,-4
1000,Maple Grill,2023-04-17,Cheddar Cheese,39,9.72,379.08,28,11
1000,Maple Grill,2023-04-17,Buns,95,9.34,887.3,97,-2
1000,Maple Grill,2023-04-17,Fries,182,3.13,569.66,186,-4
1000,Maple Grill,2023-04-17,Ketchup,49,9.71,475.79,41,8
1000,Maple Grill,2023-04-24,Beef Patty,141,4.8,676.8,138,3
1000,Maple Grill,2023-04-24,Cheddar Cheese,21,5.24,110.04,9,12
1000,Maple Grill,2023-04-24,Buns,149,6.51,969.99,140,9
1000,Maple Grill,2023-04-24,Fries,123,4.74,583.02,116,7
1000,Maple Grill,2023-04-24,Ketchup,160,9.29,1486.4,160,0
1000,Maple Grill,2023-05-01,Beef Patty,58,5.02,291.16,62,-4
1000,Maple Grill,2023-05-01,Cheddar Cheese,191,9.82,1875.62,192,-1
1000,Maple Grill,2023-05-01,Buns,125,2.75,343.75,125,0
1000,Maple Grill,2023-05-01,Fries,173,4.67,807.91,176,-3
1000,Maple Grill,2023-05-01,Ketchup,47,3.22,151.34,40,7
1000,Maple Grill,2023-05-08,Beef Patty,65,7.22,469.3,51,14
1000,Maple Grill,2023-05-08,Cheddar Cheese,93,6.8,632.4,97,-4
1000,Maple Grill,2023-05-08,Buns,187,7.47,1396.89,188,-1
1000,Maple Grill,2023-05-08,Fries,44,8.05,354.2,43,1
1000,Maple Grill,2023-05-08,Ketchup,73,2.97,216.81,69,4
1000,Maple Grill,2023-05-15,Beef Patty,34,9.19,312.46,27,7
1000,Maple Grill,2023-05-15,Cheddar Cheese,94,4.02,377.88,90,4
1000,Maple Grill,2023-05-15,Buns,189,3.28,619.92,191,-2
1000,Maple Grill,2023-05-15,Fries,58,2.77,160.66,44,14
1000,Maple Grill,2023-05-15,Ketchup,140,7.93,1110.2,142,-2
1000,Maple Grill,2023-05-22,Beef Patty,57,7.44,424.08,60,-3
1000,Maple Grill,2023-05-22,Cheddar Cheese,187,9.05,1692.35,173,14
1000,Maple Grill,2023-05-22,Buns,66,1.57,103.62,54,12
1000,Maple Grill,2023-05-22,Fries,99,9.29,919.71,89,10
1000,Maple Grill,2023-05-22,Ketchup,28,2.52,70.56,16,12
1000,Maple Grill,2023-05-29,Beef Patty,48,9.74,467.52,51,-3
1000,Maple Grill,2023-05-29,Cheddar Cheese,62,8.08,500.96,63,-1
1000,Maple Grill,2023-05-29,Buns,187,7.03,1314.61,181,6
1000,Maple Grill,2023-05-29,Fries,25,8.72,218.0,29,-4
